State,Primary NAICS,NatureTitle,EventTitle,SourceTitle,Hospitalized,Amputation,Inspection,anomaly_flag,anomaly_score,combo_count,combo_rarity_index,review_hints
NEW YORK,922140,Fractures,"Injured by physical contact with person while restraining, subduing-unintentional",Co-worker,1.0,0.0,1018519.0,0,-0.015372,1,1.0,rare_combo
WISCONSIN,339999,Second degree heat (thermal) burns,"Ignition of vapors, gases, or liquids","Welding, cutting, and blow torches",1.0,0.0,1016582.0,0,-0.00431,1,1.0,rare_combo
PENNSYLVANIA,484121,"Traumatic injuries and disorders, unspecified",Other fall to lower level less than 6 feet,"Semi, tractor-trailer, tanker truck",1.0,0.0,,0,-0.005218,1,1.0,rare_combo
GEORGIA,424490,"Soreness, pain, hurt-nonspecified injury","Caught in or compressed by equipment or objects, unspecified",Pallet jack-powered,1.0,0.0,1017194.0,0,-0.013109,1,1.0,rare_combo
WISCONSIN,326122,Fractures,"Caught in running equipment or machinery during maintenance, cleaning ","Metal, woodworking, and special material machinery, unspecified",1.0,0.0,1016344.0,0,-0.01471,1,1.0,rare_combo
FLORIDA,444110,"Soreness, pain, hurt-nonspecified injury",Fall on same level due to slipping ,"Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.016166,1,1.0,rare_combo
FLORIDA,331492,Amputations,Caught in running equipment or machinery during regular operation,"Special process machinery, unspecified",0.0,1.0,1020034.0,0,-0.01503,2,0.5,rare_combo
COLORADO,213112,"Heat (thermal) burns, unspecified",Nonclassifiable,Nonclassifiable,1.0,0.0,1020547.0,0,-0.023265,1,1.0,rare_combo
OKLAHOMA,213111,"Traumatic injuries and disorders, unspecified","Struck by object or equipment, unspecified","Tires, except bike",1.0,0.0,,0,-0.016942,1,1.0,rare_combo
FLORIDA,722211,Amputations,Injured by slipping or swinging object held by injured worker,"Knives, unspecified or n.e.c.",0.0,1.0,,0,-0.018753,1,1.0,rare_combo
TEXAS,562211,Fractures,"Struck by powered vehicle-nontransport, unspecified","Excavating machinery, unspecified",1.0,0.0,,0,-0.02368,3,0.333333,rare_combo
FLORIDA,311811,"Electrocutions, electric shocks","Indirect exposure to electricity, 220 volts or less","Packaging, wrapping, bundling machinery",1.0,0.0,1016640.0,0,-0.014888,1,1.0,rare_combo
TEXAS,452112,Fractures,"Fall on same level due to tripping, unspecified","Floors, walkways, ground surfaces, unspecified",1.0,0.0,,0,-0.019532,6,0.166667,none
TEXAS,238110,Fractures,Struck by object or equipment dropped by other person,"Structural elements, n.e.c.",1.0,0.0,,0,-0.021945,15,0.066667,none
