Nature,count,mean,sum
111,6018,1.0,6018.0
1311,5833,1.0,5833.0
1972,2129,1.0,2129.0
132,1023,1.0,1023.0
10,951,1.0,951.0
160,504,1.0,504.0
1971,435,1.0,435.0
1520,400,1.0,400.0
133,361,1.0,361.0
194,326,1.0,326.0
1839,265,1.0,265.0
1720,202,1.0,202.0
1729,198,1.0,198.0
1530,179,1.0,179.0
143,173,1.0,173.0
1522,165,1.0,165.0
193,156,1.0,156.0
1510,144,1.0,144.0
1960,132,1.0,132.0
162,129,1.0,129.0
1834,123,1.0,123.0
1312,115,1.0,115.0
1523,107,1.0,107.0
1725,100,1.0,100.0
1963,80,1.0,80.0
124,66,1.0,66.0
161,63,1.0,63.0
1212,57,1.0,57.0
134,57,1.0,57.0
1831,56,1.0,56.0
1231,55,1.0,55.0
1830,41,1.0,41.0
1233,40,1.0,40.0
1533,39,1.0,39.0
1973,39,1.0,39.0
189,39,1.0,39.0
1211,34,1.0,34.0
141,32,1.0,32.0
1532,27,1.0,27.0
1232,24,1.0,24.0
1230,24,1.0,24.0
150,23,1.0,23.0
1966,22,1.0,22.0
1722,22,1.0,22.0
1681,22,1.0,22.0
1833,21,1.0,21.0
1832,20,1.0,20.0
1961,20,1.0,20.0
181,20,1.0,20.0
120,20,1.0,20.0
1721,19,1.0,19.0
130,19,1.0,19.0
1521,17,1.0,17.0
1512,17,1.0,17.0
1728,16,1.0,16.0
1965,15,1.0,15.0
1999,14,1.0,14.0
1968,13,1.0,13.0
2331,13,1.0,13.0
185,12,1.0,12.0
180,12,1.0,12.0
1979,11,1.0,11.0
5111,11,1.0,11.0
169,10,1.0,10.0
1590,10,1.0,10.0
1969,10,1.0,10.0
1513,9,1.0,9.0
1210,9,1.0,9.0
1962,8,1.0,8.0
1131,8,1.0,8.0
1319,8,1.0,8.0
191,7,1.0,7.0
1130,7,1.0,7.0
1689,7,1.0,7.0
148,7,1.0,7.0
1978,6,1.0,6.0
1974,6,1.0,6.0
9999,6,1.0,6.0
1531,6,1.0,6.0
129,6,1.0,6.0
138,6,1.0,6.0
1849,5,1.0,5.0
1967,5,1.0,5.0
1964,5,1.0,5.0
139,4,1.0,4.0
5169,4,1.0,4.0
2361,4,1.0,4.0
110,4,1.0,4.0
1310,4,1.0,4.0
1238,4,1.0,4.0
5110,3,1.0,3.0
2811,3,1.0,3.0
1120,3,1.0,3.0
1712,3,1.0,3.0
1829,3,1.0,3.0
2810,2,1.0,2.0
1139,2,1.0,2.0
1711,2,1.0,2.0
1219,2,1.0,2.0
190,2,1.0,2.0
1511,2,1.0,2.0
1121,2,1.0,2.0
518,2,1.0,2.0
1592,2,1.0,2.0
6119,2,1.0,2.0
1950,2,1.0,2.0
2431,2,1.0,2.0
1841,2,1.0,2.0
1840,2,1.0,2.0
5112,1,1.0,1.0
2813,1,1.0,1.0
2910,1,1.0,1.0
2919,1,1.0,1.0
3299,1,1.0,1.0
1723,1,1.0,1.0
58,1,1.0,1.0
1220,1,1.0,1.0
5115,1,1.0,1.0
5118,1,1.0,1.0
5119,1,1.0,1.0
5159,1,1.0,1.0
2731,1,1.0,1.0
5164,1,1.0,1.0
1680,1,1.0,1.0
5174,1,1.0,1.0
6210,1,1.0,1.0
5161,1,1.0,1.0
2330,1,1.0,1.0
2433,1,1.0,1.0
1821,1,1.0,1.0
1229,1,1.0,1.0
1951,1,1.0,1.0
1952,1,1.0,1.0
179,1,1.0,1.0
1822,1,1.0,1.0
170,1,1.0,1.0
142,1,1.0,1.0
140,1,1.0,1.0
1820,1,1.0,1.0
2432,1,1.0,1.0
128,1,1.0,1.0
119,1,1.0,1.0
1992,1,1.0,1.0
118,1,1.0,1.0
2254,1,1.0,1.0
1733,1,1.0,1.0
1529,1,1.0,1.0
2362,1,1.0,1.0
7,1,1.0,1.0
